날짜,팀,상대,득점,실점,승리,장소,시기,리그,예외
2019-10-22,뉴올리언스,토론토,122,130,0,방문,BC,정규리그,0
2019-10-22,LA 레이커스,LA 클리퍼스,102,112,0,방문,BC,정규리그,0
2019-10-23,시카고,샬럿,125,126,0,방문,BC,정규리그,0
2019-10-23,디트로이트,인디애나,119,110,1,방문,BC,정규리그,0
2019-10-23,클리블랜드,올랜도,85,94,0,방문,BC,정규리그,0
2019-10-23,미네소타,브루클린,127,126,1,방문,BC,정규리그,0
2019-10-23,멤피스,마이애미,101,120,0,방문,BC,정규리그,0
2019-10-23,보스턴,필라델피아,93,107,0,방문,BC,정규리그,0
2019-10-23,워싱턴,댈러스,100,108,0,방문,BC,정규리그,0
2019-10-23,뉴욕,샌안토니오,111,120,0,방문,BC,정규리그,0
2019-10-23,오클라호마시티,유타,95,100,0,방문,BC,정규리그,0
2019-10-23,덴버,포틀랜드,108,100,1,방문,BC,정규리그,0
2019-10-23,새크라멘토,피닉스,95,124,0,방문,BC,정규리그,0
2019-10-24,애틀랜타,디트로이트,117,100,1,방문,BC,정규리그,0
2019-10-24,밀워키,휴스턴,117,111,1,방문,BC,정규리그,0
2019-10-24,LA 클리퍼스,골든스테이트,141,122,1,방문,BC,정규리그,0
2019-10-25,토론토,보스턴,106,112,0,방문,BC,정규리그,0
2019-10-25,미네소타,샬럿,121,99,1,방문,BC,정규리그,0
2019-10-25,뉴욕,브루클린,109,113,0,방문,BC,정규리그,0
2019-10-25,시카고,멤피스,110,102,1,방문,BC,정규리그,0
2019-10-25,댈러스,뉴올리언스,123,116,1,방문,BC,정규리그,0
2019-10-25,워싱턴,오클라호마시티,97,85,1,방문,BC,정규리그,0
2019-10-25,피닉스,덴버,107,108,0,방문,BC,정규리그,0
2019-10-25,포틀랜드,새크라멘토,122,112,1,방문,BC,정규리그,0
2019-10-25,유타,LA 레이커스,86,95,0,방문,BC,정규리그,0
2019-10-26,마이애미,밀워키,131,126,1,방문,BC,정규리그,0
2019-10-26,필라델피아,디트로이트,117,111,1,방문,BC,정규리그,0
2019-10-26,올랜도,애틀랜타,99,103,0,방문,BC,정규리그,0
2019-10-26,보스턴,뉴욕,118,95,1,방문,BC,정규리그,0
2019-10-26,토론토,시카고,108,84,1,방문,BC,정규리그,0
2019-10-26,인디애나,클리블랜드,99,110,0,방문,BC,정규리그,0
2019-10-26,뉴올리언스,휴스턴,123,126,0,방문,BC,정규리그,0
2019-10-26,워싱턴,샌안토니오,122,124,0,방문,BC,정규리그,0
2019-10-26,새크라멘토,유타,81,113,0,방문,BC,정규리그,0
2019-10-26,LA 클리퍼스,피닉스,122,130,0,방문,BC,정규리그,0
2019-10-27,골든스테이트,오클라호마시티,92,120,0,방문,BC,정규리그,0
2019-10-27,브루클린,멤피스,133,134,0,방문,BC,정규리그,0
2019-10-27,포틀랜드,댈러스,121,119,1,방문,BC,정규리그,0
2019-10-27,마이애미,미네소타,109,116,0,방문,BC,정규리그,0
2019-10-27,샬럿,LA 레이커스,101,120,0,방문,BC,정규리그,0
2019-10-28,인디애나,디트로이트,94,96,0,방문,BC,정규리그,0
2019-10-28,시카고,뉴욕,98,105,0,방문,BC,정규리그,0
2019-10-28,필라델피아,애틀랜타,105,103,1,방문,BC,정규리그,0
2019-10-28,올랜도,토론토,95,104,0,방문,BC,정규리그,0
2019-10-28,클리블랜드,밀워키,112,129,0,방문,BC,정규리그,0
2019-10-28,골든스테이트,뉴올리언스,134,123,1,방문,BC,정규리그,0
2019-10-28,오클라호마시티,휴스턴,112,116,0,방문,BC,정규리그,0
2019-10-28,포틀랜드,샌안토니오,110,113,0,방문,BC,정규리그,0
2019-10-28,유타,피닉스,96,95,1,방문,BC,정규리그,0
2019-10-28,덴버,새크라멘토,101,94,1,방문,BC,정규리그,0
2019-10-28,샬럿,LA 클리퍼스,96,111,0,방문,BC,정규리그,0
2019-10-29,애틀랜타,마이애미,97,112,0,방문,BC,정규리그,0
2019-10-29,댈러스,덴버,109,106,1,방문,BC,정규리그,0
2019-10-29,멤피스,LA 레이커스,91,120,0,방문,BC,정규리그,0
2019-10-30,미네소타,필라델피아,95,117,0,방문,BC,정규리그,0
2019-10-30,뉴욕,올랜도,83,95,0,방문,BC,정규리그,0
2019-10-30,시카고,클리블랜드,111,117,0,방문,BC,정규리그,0
2019-10-30,인디애나,브루클린,118,108,1,방문,BC,정규리그,0
2019-10-30,밀워키,보스턴,105,116,0,방문,BC,정규리그,0
2019-10-30,디트로이트,토론토,113,125,0,방문,BC,정규리그,0
2019-10-30,포틀랜드,오클라호마시티,102,99,1,방문,BC,정규리그,0
2019-10-30,휴스턴,워싱턴,159,158,1,방문,BC,정규리그,0
2019-10-30,샬럿,새크라멘토,118,111,1,방문,BC,정규리그,0
2019-10-30,LA 클리퍼스,유타,96,110,0,방문,BC,정규리그,0
2019-10-30,피닉스,골든스테이트,121,110,1,방문,BC,정규리그,0
2019-10-31,마이애미,애틀랜타,106,97,1,방문,BC,정규리그,0
2019-10-31,덴버,뉴올리언스,107,122,0,방문,BC,정규리그,0
2019-10-31,샌안토니오,LA 클리퍼스,97,103,0,방문,BC,정규리그,0
2019-11-01,휴스턴,브루클린,116,123,0,방문,BC,정규리그,0
2019-11-01,클리블랜드,인디애나,95,102,0,방문,BC,정규리그,0
2019-11-01,밀워키,올랜도,123,91,1,방문,BC,정규리그,0
2019-11-01,뉴욕,보스턴,102,104,0,방문,BC,정규리그,0
