날짜,리그,팀,상대,득점,실점,승리,장소,시기
2019-08-10,EPL,크리스탈 팰리스,에버턴,0,0,0,안방,BC
2019-08-10,EPL,왓포드 FC,브라이튼,0,3,0,안방,BC
2019-08-10,EPL,웨스트햄,맨시티,0,5,0,안방,BC
2019-08-10,EPL,AFC 본머스,셰필드,1,1,0,안방,BC
2019-08-10,EPL,번리,사우샘프턴,3,0,1,안방,BC
2019-08-10,EPL,리버풀,노리치 시티 FC,4,1,1,안방,BC
2019-08-11,EPL,레스터 시티,울버햄튼,0,0,0,안방,BC
2019-08-11,EPL,뉴캐슬,아스널,0,1,0,안방,BC
2019-08-11,EPL,토트넘,아스톤 빌라,3,1,1,안방,BC
2019-08-12,EPL,맨유,첼시,4,0,1,안방,BC
2019-08-17,EPL,에버턴,왓포드 FC,1,0,1,안방,BC
2019-08-17,EPL,브라이튼,웨스트햄,1,1,0,안방,BC
2019-08-17,EPL,사우샘프턴,리버풀,1,2,0,안방,BC
2019-08-17,EPL,아스톤 빌라,AFC 본머스,1,2,0,안방,BC
2019-08-17,EPL,아스널,번리,2,1,1,안방,BC
2019-08-17,EPL,노리치 시티 FC,뉴캐슬,3,1,1,안방,BC
2019-08-18,EPL,셰필드,크리스탈 팰리스,1,0,1,안방,BC
2019-08-18,EPL,맨시티,토트넘,2,2,0,안방,BC
2019-08-19,EPL,첼시,레스터 시티,1,1,0,안방,BC
2019-08-20,EPL,울버햄튼,맨유,1,1,0,안방,BC
2019-08-24,EPL,브라이튼,사우샘프턴,0,2,0,안방,BC
2019-08-24,EPL,맨유,크리스탈 팰리스,1,2,0,안방,BC
2019-08-24,EPL,셰필드,레스터 시티,1,2,0,안방,BC
2019-08-24,EPL,왓포드 FC,웨스트햄,1,3,0,안방,BC
2019-08-24,EPL,아스톤 빌라,에버턴,2,0,1,안방,BC
2019-08-24,EPL,노리치 시티 FC,첼시,2,3,0,안방,BC
2019-08-25,EPL,AFC 본머스,맨시티,1,3,0,안방,BC
2019-08-25,EPL,리버풀,아스널,3,1,1,안방,BC
2019-08-26,EPL,토트넘,뉴캐슬,0,1,0,안방,BC
2019-08-26,EPL,울버햄튼,번리,1,1,0,안방,BC
2019-08-31,EPL,크리스탈 팰리스,아스톤 빌라,1,0,1,안방,BC
2019-08-31,EPL,뉴캐슬,왓포드 FC,1,1,0,안방,BC
2019-08-31,EPL,사우샘프턴,맨유,1,1,0,안방,BC
2019-08-31,EPL,웨스트햄,노리치 시티 FC,2,0,1,안방,BC
2019-08-31,EPL,첼시,셰필드,2,2,0,안방,BC
2019-08-31,EPL,레스터 시티,AFC 본머스,3,1,1,안방,BC
2019-08-31,EPL,맨시티,브라이튼,4,0,1,안방,BC
2019-09-01,EPL,번리,리버풀,0,3,0,안방,BC
2019-09-01,EPL,에버턴,울버햄튼,3,2,1,안방,BC
2019-09-02,EPL,아스널,토트넘,2,2,0,안방,BC
2019-09-14,EPL,셰필드,사우샘프턴,0,1,0,안방,BC
2019-09-14,EPL,맨유,레스터 시티,1,0,1,안방,BC
2019-09-14,EPL,브라이튼,번리,1,1,0,안방,BC
2019-09-14,EPL,울버햄튼,첼시,2,5,0,안방,BC
2019-09-14,EPL,리버풀,뉴캐슬,3,1,1,안방,BC
2019-09-14,EPL,토트넘,크리스탈 팰리스,4,0,1,안방,BC
2019-09-15,EPL,AFC 본머스,에버턴,3,1,1,안방,BC
2019-09-15,EPL,노리치 시티 FC,맨시티,3,2,1,안방,BC
2019-09-16,EPL,왓포드 FC,아스널,2,2,0,안방,BC
2019-09-17,EPL,아스톤 빌라,웨스트햄,0,0,0,안방,BC
2019-09-21,EPL,에버턴,셰필드,0,2,0,안방,BC
2019-09-21,EPL,사우샘프턴,AFC 본머스,1,3,0,안방,BC
2019-09-21,EPL,번리,노리치 시티 FC,2,0,1,안방,BC
2019-09-21,EPL,레스터 시티,토트넘,2,1,1,안방,BC
2019-09-21,EPL,맨시티,왓포드 FC,8,0,1,안방,BC
2019-09-22,EPL,뉴캐슬,브라이튼,0,0,0,안방,BC
2019-09-22,EPL,크리스탈 팰리스,울버햄튼,1,1,0,안방,BC
2019-09-22,EPL,웨스트햄,맨유,2,0,1,안방,BC
2019-09-23,EPL,첼시,리버풀,1,2,0,안방,BC
2019-09-23,EPL,아스널,아스톤 빌라,3,2,1,안방,BC
2019-09-28,EPL,셰필드,리버풀,0,1,0,안방,BC
2019-09-28,EPL,울버햄튼,왓포드 FC,2,0,1,안방,BC
2019-09-28,EPL,첼시,브라이튼,2,0,1,안방,BC
2019-09-28,EPL,크리스탈 팰리스,노리치 시티 FC,2,0,1,안방,BC
2019-09-28,EPL,토트넘,사우샘프턴,2,1,1,안방,BC
2019-09-28,EPL,AFC 본머스,웨스트햄,2,2,0,안방,BC
2019-09-28,EPL,아스톤 빌라,번리,2,2,0,안방,BC
2019-09-29,EPL,에버턴,맨시티,1,3,0,안방,BC
2019-09-30,EPL,AFC 본머스,노리치 시티 FC,0,0,0,안방,BC
2019-09-30,EPL,왓포드 FC,AFC 본머스,0,0,0,안방,BC
2019-09-30,EPL,왓포드 FC,셰필드,0,0,0,안방,BC
2019-09-30,EPL,맨시티,울버햄튼,0,2,0,안방,BC
