"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FC","2020-09-30","85.0","2.34","5.87","Hyun Jin Ryu",592669,547943,"home_run","hit_into_play_score",,,,,"2","Hunter Renfroe hits a grand slam (1) to left field.   Randy Arozarena scores.    Yandy Diaz scores.    Manuel Margot scores.  ","F","R","L","TB","TOR","X","null","fly_ball",1,1,2020,"-0.1","0.9","-0.22","3.30",668227,650490,622534,2,2,"Bot","16.52","87.70",,,"643376",,"null",-5.781651040161349,-123.74015204056394,-1.535069660976884,-0.2822159890948012,24.885750482469074,-22.750506331873844,"3.38","1.57","366","95.4","27","86.0","1922","6.9",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.61","0.186","0.209","2.00",1,0,3,5,23,"3","Cutter",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"FC","2020-09-30","85.3","2.44","5.84","Hyun Jin Ryu",592669,547943,"null","ball",,,,,"13","null","F","R","L","TB","TOR","B","null","null",0,1,2020,"-0.2","1.0","-1.32","1.33",668227,650490,622534,2,2,"Bot","null","null",,,"643376",,"null",-8.5123812907707,-123.91611259310409,-6.308558021137749,-0.4817462296272166,24.45996824480265,-21.082026520955655,"3.66","1.70","null","null","null","86.3","1961","7.0",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.52","null","null","null","null","null","null","null",23,"2","Cutter",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"CH","2020-09-30","79.9","2.52","5.66","Hyun Jin Ryu",592669,547943,"null","foul",,,,,"12","null","F","R","L","TB","TOR","S","null","null",0,0,2020,"1.3","0.3","1.29","2.84",668227,650490,622534,2,2,"Bot","null","null",,,"643376",,"null",-5.283074540386762,-116.27595374750317,-0.07185518983106465,13.060546874742302,22.71914176182788,-29.36527040631859,"3.38","1.57","76","60.5","10","80.7","1382","6.9",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.56","null","null","null","null","null","null","null",23,"1","Changeup",3,0,3,0,0,3,3,0,"Infield shift","Strategic"
"CH","2020-09-30","79.8","2.62","5.62","Hyun Jin Ryu",622534,547943,"field_error","hit_into_play_no_out",,,,,"14","Manuel Margot reaches on a fielding error by shortstop Bo Bichette.   Randy Arozarena to 3rd.    Yandy Diaz to 2nd.  ","F","R","L","TB","TOR","X",6,"ground_ball",1,0,2020,"1.3","0.6","0.87","1.12","null",668227,650490,2,2,"Bot","112.98","160.20",,,"643376",,"null",-6.3791697410111095,-115.93901885062957,-4.248558037586803,13.076636829031706,23.352222166895345,-26.224492138175087,"3.24","1.52","5","69.1","-23","80.3","1423","6.9",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.61","0.050","0.045","0.90",1,0,0,2,22,"2","Changeup",3,0,3,0,0,3,3,0,"Standard","Standard"
"SI","2020-09-30","88.0","2.49","5.75","Hyun Jin Ryu",622534,547943,"null","ball",,,,,"13","null","F","R","L","TB","TOR","B","null","null",0,0,2020,"1.6","1.0","-0.03","1.38","null",668227,650490,2,2,"Bot","null","null",,,"643376",,"null",-9.503209332282445,-127.61481683269845,-6.500848712617077,19.331082122538767,28.213944071023324,-20.277349813104856,"3.40","1.68","null","null","null","88.5","1967","7.0",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.52","null","null","null","null","null","null","null",22,"1","Sinker",3,0,3,0,0,3,3,0,"Standard","Standard"
"SI","2020-09-30","87.6","2.55","5.68","Hyun Jin Ryu",650490,547943,"walk","ball",,,,,"12","Yandy Diaz walks.  ","F","R","L","TB","TOR","B","null","null",3,0,2020,"1.5","0.9","1.39","2.96","null",668227,"null",2,2,"Bot","null","null",,,"643376",,"null",-6.016136380666408,-127.44365309588234,-2.349700045936906,17.68546831733118,27.981611001550316,-21.736509607694554,"3.35","1.56","null","null","null","88.3","1962","6.9",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.58","null","null","0.70",1,0,0,"null",21,"4","Sinker",3,0,3,0,0,3,3,0,"Standard","Standard"
"CH","2020-09-30","78.5","2.59","5.67","Hyun Jin Ryu",650490,547943,"null","ball",,,,,"14","null","F","R","L","TB","TOR","B","null","null",2,0,2020,"1.3","0.5","0.40","0.95","null",668227,"null",2,2,"Bot","null","null",,,"643376",,"null",-7.256881407884228,-114.07894612808849,-4.246753143419835,12.84101073262704,22.40137655209379,-27.25997874202272,"3.42","1.64","null","null","null","79.1","1486","6.9",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.60","null","null","null","null","null","null","null",21,"3","Changeup",3,0,3,0,0,3,3,0,"Standard","Standard"
"FC","2020-09-30","84.6","2.21","5.94","Hyun Jin Ryu",650490,547943,"null","ball",,,,,"2","null","F","R","L","TB","TOR","B","null","null",1,0,2020,"-0.1","0.8","0.02","3.59","null",668227,"null",2,2,"Bot","null","null",,,"643376",,"null",-5.049560736064136,-123.1924484427186,-0.7112687160982232,0.43304821768769514,24.11443423365693,-24.184739140899094,"3.50","1.69","null","null","null","85.5","1935","6.8",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.70","null","null","null","null","null","null","null",21,"2","Cutter",3,0,3,0,0,3,3,0,"Standard","Standard"
"CH","2020-09-30","77.5","2.75","5.60","Hyun Jin Ryu",650490,547943,"null","ball",,,,,"14","null","F","R","L","TB","TOR","B","null","null",0,0,2020,"1.3","0.5","2.09","2.41","null",668227,"null",2,2,"Bot","null","null",,,"643376",,"null",-3.809027043599879,-112.86409721530438,-0.7233768350576869,11.683248490780647,21.445342636836436,-28.187822334365634,"3.45","1.67","null","null","null","78.2","1398","6.8",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.69","null","null","null","null","null","null","null",21,"1","Changeup",3,0,3,0,0,3,3,0,"Standard","Standard"
"FF","2020-09-30","87.9","2.30","5.87","Hyun Jin Ryu",664040,547943,"field_out","hit_into_play",,,,,"1","Brandon Lowe lines out to second baseman Joe Panik.  ","F","L","L","TB","TOR","X",4,"line_drive",0,1,2020,"0.8","1.6","-0.32","2.78","null",668227,"null",1,2,"Bot","155.26","140.14",,,"643376",,"null",-8.043745277613104,-127.73657040195525,-4.799215557133778,10.10336658363359,26.157212887484274,-13.517298128073016,"3.18","1.46","162","83.8","12","88.9","2000","7.0",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.53","0.650","0.585","0.00",1,0,0,4,20,"2","4-Seam Fastball",3,0,3,0,0,3,3,0,"Standard","Standard"
