코드,성별
1,남
2,남
3,여
4,남
5,남
6,여
7,여
8,남
9,남
10,남
11,남
12,여
13,남
14,남
15,남
16,남
17,여
18,여
19,남
20,여
21,여
22,여
23,여
24,남
25,남
26,남
27,여
28,남
29,여
30,여
31,여
32,남
33,여
34,여
35,남
36,남
37,여
38,남
39,남
40,여
41,남
42,남
43,남
44,남
45,여
46,여
47,남
48,여
49,남
50,여
51,남
52,남
53,여
54,남
55,여
56,여
57,남
58,남
59,여
60,남
61,남
62,남
63,남
64,여
65,여
66,남
67,여
68,남
69,남
70,남
71,여
72,여
73,여
74,여
75,여
76,남
77,여
78,남
79,여
80,남
81,남
82,여
83,남
84,남
85,여
86,여
87,여
88,남
89,남
90,남
91,여
92,남
93,남
94,남
95,여
96,여
97,남
98,여
99,남
100,남
101,여
102,남
103,여
104,남
105,남
106,여
107,여
108,여
109,여
110,남
111,남
112,남
113,여
114,여
115,여
116,남
117,남
118,여
119,남
120,남
121,여
122,여
123,남
124,여
125,남
126,여
127,여
128,여
129,남
130,남
131,여
132,남
133,남
134,남
135,남
136,남
137,여
138,남
139,여
140,남
141,여
142,남
143,여
144,남
145,여
146,남
147,남
148,남
149,여
150,여
151,여
152,남
153,남
154,남
155,남
156,여
157,남
158,여
159,여
160,남
161,여
162,여
163,여
164,남
165,남
166,남
167,남
168,남
169,남
170,남
171,여
172,여
173,여
174,여
175,남
176,남
177,남
178,여
179,남
180,남
181,여
182,남
183,남
184,남
185,남
186,남
187,여
188,여
189,남
190,여
191,남
192,남
193,여
194,여
195,여
196,남
197,남
198,남
199,남
200,여
201,남
202,남
203,여
204,남
205,남
206,여
207,남
208,남
209,남
210,남
211,남
212,여
213,남
214,남
215,남
216,여
217,남
218,여
219,남
220,남
221,여
222,남
223,여
224,남
225,남
226,여
227,여
228,여
229,남
230,여
231,여
232,여
233,여
234,남
235,여
236,여
237,남
238,여
239,남
240,여
241,남
242,남
243,남
244,남
245,여
246,여
247,남
248,남
249,남
250,여
251,남
252,남
253,여
254,여
255,남
256,남
257,남
258,여
259,남
260,남
261,남
262,남
263,여
264,남
265,남
266,남
267,남
268,남
269,남
270,남
271,남
272,남
273,남
274,여
275,남
276,남
277,여
278,여
279,남
280,남
281,남
282,남
283,여
284,여
285,여
286,남
287,여
288,여
289,남
290,여
291,남
292,여
293,남
294,남
295,여
296,남
297,여
298,남
299,여
300,남
301,남
302,남
303,여
304,남
305,남
306,남
307,남
308,남
309,남
310,여
311,남
312,여
313,여
314,남
315,여
316,남
317,남
318,여
319,여
320,남
321,남
322,남
323,여
324,남
325,여
326,여
327,여
328,남
329,여
330,남
331,여
332,여
333,여
334,여
335,여
336,여
337,남
338,남
339,남
340,여
341,남
342,남
343,여
344,여
345,여
346,여
347,여
348,남
349,남
350,여
351,남
352,여
353,남
354,남
355,남
356,남
357,여
358,남
359,남
360,남
361,남
362,여
363,여
364,남
365,남
366,남
367,남
368,남
369,남
370,남
371,여
372,여
373,여
374,여
375,남
376,남
377,여
378,남
379,여
380,남
381,여
382,여
383,여
384,남
385,여
386,남
387,여
388,남
389,여
390,남
391,남
392,여
393,남
394,남
395,남
396,여
397,남
398,남
399,여
400,남
401,여
402,남
403,여
404,남
405,남
406,여
407,남
408,남
409,남
410,여
411,남
412,여
413,남
414,남
415,남
416,여
417,남
418,남
419,여
420,남
421,남
422,남
423,남
424,남
425,여
426,여
427,남
428,남
429,남
430,여
431,남
432,여
433,남
434,여
435,남
436,남
437,남
438,남
439,남
440,여
441,여
442,여
443,남
444,남
445,여
446,남
447,남
448,남
449,여
450,남
451,남
452,남
453,여
454,여
455,남
456,여
457,남
458,남
459,남
460,여
461,여
462,여
463,남
464,남
465,남
466,남
467,남
468,여
469,남
470,남
471,여
472,여
473,남
474,남
475,여
476,남
477,남
478,남
479,남
480,남
481,여
482,여
483,남
484,남
485,여
486,남
487,남
488,여
489,남
490,여
491,남
492,남
493,남
494,여
495,여
496,여
497,여
498,남
499,남
500,여
501,여
502,여
503,남
504,남
505,여
506,남
507,여
508,남
509,남
510,남
511,남
512,남
513,여
514,여
515,남
516,남
517,남
518,남
519,남
520,여
521,여
522,남
523,남
524,남
525,여
526,여
527,여
528,여
529,남
530,여
531,여
532,여
533,여
534,여
535,여
536,남
537,남
538,남
539,여
540,여
541,남
542,남
543,남
544,남
545,여
546,남
547,여
548,남
549,남
550,남
551,여
552,여
553,여
554,남
555,남
556,남
557,여
558,여
559,남
560,남
561,여
562,남
563,여
564,남
565,남
566,남
567,남
568,남
569,남
570,남
571,여
572,남
573,남
574,여
575,여
576,여
577,남
578,여
579,남
580,여
581,남
582,남
583,남
584,여
585,여
586,여
587,남
588,여
589,여
590,여
591,남
592,남
593,남
594,남
595,남
596,남
597,남
598,남
599,남
600,남
601,남
602,여
603,여
604,여
605,남
606,여
607,남
608,여
609,여
610,여
611,남
612,남
613,남
614,여
615,여
616,남
617,여
618,여
619,남
620,남
621,여
622,남
623,여
624,남
625,여
626,남
627,남
628,여
629,여
630,남
631,여
632,남
633,남
634,여
635,남
636,여
637,여
638,남
639,남
640,남
641,여
642,남
643,여
644,남
645,남
646,여
647,남
648,남
649,여
650,남
651,여
652,남
653,남
654,여
655,남
656,여
657,남
658,여
659,여
660,여
661,남
662,여
663,여
664,여
665,남
666,남
667,남
668,남
669,남
670,남
671,남
672,여
673,남
674,남
675,남
676,남
677,남
678,남
679,여
680,남
681,여
682,여
683,남
684,여
685,여
686,여
687,여
688,여
689,남
690,여
691,여
692,여
693,여
694,남
695,여
696,여
697,남
698,남
699,남
700,여
701,남
702,남
703,남
704,남
705,남
706,남
707,남
708,남
709,여
710,남
711,남
712,남
713,남
714,여
715,여
716,여
717,여
718,여
719,남
720,남
721,남
722,남
723,남
724,남
725,여
726,여
727,여
728,남
729,남
730,여
731,남
732,여
733,여
734,남
735,남
736,남
737,여
738,여
739,여
740,여
741,남
742,남
743,여
744,남
745,남
746,남
747,남
748,여
749,여
750,여
751,여
752,남
753,남
754,남
755,여
756,여
757,여
758,여
759,남
760,남
761,남
762,남
763,남
764,여
765,남
766,남
767,여
768,여
769,남
770,남
771,여
772,남
773,남
774,남
775,여
776,여
777,남
778,남
779,남
780,남
781,여
782,남
783,남
784,여
785,남
786,남
787,여
788,남
789,여
790,여
791,여
792,여
793,여
794,여
795,남
796,남
797,남
798,여
799,남
800,여
801,여
802,여
803,남
804,여
805,여
806,여
807,남
808,여
809,여
810,여
811,남
812,남
813,여
814,여
815,여
816,남
817,여
818,남
819,남
820,남
821,남
822,남
823,남
824,여
825,남
826,여
827,남
828,남
829,여
830,여
831,여
832,여
833,여
834,여
835,남
836,여
837,남
838,남
839,남
840,남
841,여
842,남
843,남
844,여
845,남
846,남
847,여
848,여
849,여
850,여
851,여
852,남
853,여
854,여
855,여
856,남
857,여
858,남
859,남
860,여
861,남
862,남
863,남
864,남
865,여
866,여
867,여
868,남
869,여
870,여
871,여
872,여
873,남
874,남
875,여
876,남
877,남
878,여
879,남
880,남
881,여
882,남
883,남
884,여
885,남
886,남
887,남
888,남
889,남
890,남
891,여
892,여
893,여
894,남
895,여
896,남
897,남
898,남
899,남
900,남
901,여
902,남
903,남
904,여
905,남
906,남
907,남
908,여
909,여
910,여
911,남
912,남
913,남
914,여
915,남
916,남
917,여
918,남
919,남
920,남
921,남
922,남
923,남
924,남
925,여
926,남
927,여
928,남
929,여
930,여
931,남
932,남
933,남
934,여
935,남
936,여
937,남
938,남
939,여
940,남
941,남
942,여
943,여
944,여
945,남
946,남
947,남
948,남
949,남
950,남
951,여
952,남
953,남
954,여
955,남
956,남
957,여
958,여
959,남
960,여
961,남
962,여
963,남
964,남
965,여
966,여
967,여
968,남
969,여
970,남
971,남
972,남
973,여
974,남
975,남
976,남
977,여
978,남
979,남
980,남
981,남
982,남
983,여
984,남
985,남
986,여
987,여
988,남
989,남
990,남
991,남
992,남
993,여
994,여
995,여
996,여
997,여
998,여
999,남
1000,남
1001,여
1002,남
1003,여
1004,남
1005,여
1006,여
1007,남
1008,남
1009,남
1010,여
1011,여
1012,남
1013,여
1014,남
1015,남
1016,여
1017,여
1018,남
1019,여
1020,남
1021,남
1022,여
1023,여
1024,남
1025,남
1026,여
1027,여
1028,여
1029,여
1030,여
1031,남
1032,여
1033,남
1034,여
1035,남
1036,남
1037,여
1038,남
1039,남
1040,남
1041,여
1042,남
1043,남
1044,여
1045,여
1046,여
1047,남
1048,여
1049,남
1050,남
1051,남
1052,남
1053,여
1054,남
1055,남
1056,남
1057,여
1058,여
1059,남
1060,여
1061,여
1062,여
1063,남
1064,여
1065,여
1066,여
1067,여
1068,여
1069,여
1070,여
1071,여
1072,여
1073,남
1074,남
1075,남
1076,남
1077,남
1078,여
1079,여
1080,여
1081,여
1082,여
1083,남
1084,남
1085,여
1086,남
1087,남
1088,남
1089,여
1090,여
1091,남
1092,남
1093,여
1094,여
1095,여
1096,남
1097,남
1098,여
1099,남
1100,여
1101,여
1102,여
1103,여
1104,남
1105,남
1106,여
1107,여
1108,남
1109,남
1110,남
1111,남
1112,남
1113,남
1114,남
1115,여
1116,여
1117,여
1118,남
1119,남
1120,여
1121,여
1122,남
1123,여
1124,남
1125,남
1126,남
1127,여
1128,남
1129,여
1130,남
1131,남
1132,남
1133,여
1134,남
1135,여
1136,여
1137,남
1138,여
1139,여
1140,여
1141,여
1142,여
1143,남
1144,여
1145,여
1146,남
1147,여
1148,여
1149,남
1150,남
1151,여
1152,남
1153,여
1154,남
1155,남
1156,남
1157,남
1158,남
1159,남
1160,여
1161,남
1162,남
1163,여
1164,남
1165,여
1166,여
1167,남
1168,남
1169,여
1170,여
1171,남
1172,여
1173,여
1174,여
1175,남
1176,여
1177,남
1178,남
1179,남
1180,남
1181,여
1182,여
1183,여
1184,여
1185,여
1186,남
1187,여
1188,남
1189,남
1190,남
1191,남
1192,남
1193,여
1194,남
1195,여
1196,여
1197,여
1198,여
1199,남
1200,여
1201,여
1202,남
1203,남
1204,남
1205,남
1206,여
1207,여
1208,여
1209,남
1210,남
1211,남
1212,남
1213,남
1214,남
1215,여
1216,여
1217,여
1218,여
1219,남
1220,여
1221,남
1222,남
1223,남
1224,남
1225,남
1226,남
1227,남
1228,남
1229,여
1230,남
1231,여
1232,남
1233,남
1234,남
1235,남
1236,여
1237,남
1238,여
1239,남
1240,여
1241,남
1242,여
1243,남
1244,남
1245,여
1246,여
1247,여
1248,여
1249,여
1250,여
1251,남
1252,여
1253,남
1254,남
1255,남
1256,여
1257,남
1258,남
1259,남
1260,남
1261,여
1262,여
1263,남
1264,남
1265,남
1266,여
1267,여
1268,여
1269,여
1270,여
1271,남
1272,남
1273,여
1274,남
1275,남
1276,남
1277,여
1278,남
1279,남
1280,여
1281,남
1282,여
1283,여
1284,남
1285,여
1286,남
1287,남
1288,남
1289,여
1290,남
1291,남
1292,여
1293,여
1294,남
1295,남
1296,남
1297,남
1298,여
1299,여
1300,남
1301,여
1302,여
1303,여
1304,남
1305,남
1306,남
1307,남
1308,남
1309,여
1310,남
1311,남
1312,남
1313,남
1314,여
1315,여
1316,여
1317,남
1318,여
1319,여
1320,남
1321,남
1322,남
1323,여
1324,남
1325,남
1326,남
1327,여
1328,남
1329,여
1330,여
1331,남
1332,남
1333,남
1334,여
1335,여
1336,남
1337,여
1338,남
1339,여
1340,남
1341,여
1342,여
1343,남
1344,여
1345,남
1346,남
1347,여
1348,남
1349,여
1350,여
1351,여
1352,여
1353,여
1354,남
1355,여
1356,남
1357,여
1358,남
1359,여
1360,여
1361,여
1362,남
1363,남
1364,남
1365,여
1366,여
1367,여
1368,여
1369,남
1370,남
1371,여
1372,남
1373,여
1374,여
1375,여
1376,여
1377,남
1378,남
1379,남
1380,남
1381,여
1382,여
1383,남
1384,남
1385,여
1386,남
1387,남
1388,여
1389,여
1390,남
1391,남
1392,남
1393,여
1394,여
1395,남
1396,남
1397,여
1398,남
1399,여
1400,남
1401,여
1402,남
1403,여
1404,여
1405,남
1406,여
1407,남
1408,여
1409,여
