name,code,year,tpa,ab,h
이호준,94629,2004,578,497,139
김응국,88510,1999,555,481,141
이호준,94629,2003,554,473,137
최정,75847,2012,553,474,142
최정,75847,2013,525,434,137
김응국,88510,1996,518,446,143
김성한,82612,1989,513,414,116
이호준,94629,2013,508,442,123
김응국,88510,1991,504,436,131
이호준,94629,2012,504,426,128
심재학,95114,2000,502,430,114
이호준,94629,2014,500,424,115
이호준,94629,2002,499,444,128
최동수,94132,2007,493,431,132
장민석,71347,2010,493,435,123
최정,75847,2010,493,400,120
심재학,95114,1998,490,412,110
최정,75847,2011,488,403,125
김응국,88510,1992,486,401,128
김성한,82612,1991,482,411,121
심재학,95114,1997,478,411,117
최정,75847,2008,476,406,133
장민석,71347,2012,475,414,102
심재학,95114,1996,471,389,111
박노준,86231,1991,470,430,126
심재학,95114,2001,469,369,127
심재학,95114,2004,469,372,105
이호준,94629,1998,465,422,128
심재학,95114,2002,463,383,94
최정,75847,2007,462,408,109
김성한,82612,1992,458,410,107
김성한,82612,1988,457,404,131
김성한,82612,1985,455,400,133
김성한,82612,1986,449,404,113
김재박,82116,1987,448,399,113
김재박,82116,1986,447,386,102
김재박,82116,1988,447,409,109
김응국,88510,2000,439,401,111
김응국,88510,1995,435,364,109
김재박,82116,1983,433,373,108
김응국,88510,1990,433,377,110
김재박,82116,1985,431,377,118
김재박,82116,1990,431,381,91
최동수,94132,2008,431,381,101
김재박,82116,1989,425,357,102
김응국,88510,1993,420,369,105
권준헌,90315,1995,419,395,121
이호준,94629,2011,417,368,93
최동수,94132,2004,414,381,98
김응국,88510,2002,412,373,106
이호준,94629,2005,411,354,96
김성한,82612,1984,410,365,94
최정,75847,2009,410,339,90
김응국,88510,1994,407,350,113
장민석,71347,2013,407,360,87
김성한,82612,1993,403,362,99
김재박,82116,1984,392,343,103
박노준,86231,1994,391,340,103
이호준,94629,2007,391,351,110
최동수,94132,2009,386,338,100
김성한,82612,1990,385,331,93
김성한,82612,1983,382,339,111
박노준,86231,1989,382,326,97
박노준,86231,1990,379,342,85
박노준,86231,1995,371,332,73
박노준,86231,1993,366,331,75
최정,75847,2014,361,308,94
김성한,82612,1987,342,306,96
김응국,88510,1998,342,305,81
이호준,94629,1999,342,312,86
김성한,82612,1982,340,318,97
이호준,94629,2009,340,299,89
김정수,82982,1982,333,277,76
김정수,83147,1983,330,279,67
김정수,82982,1984,324,272,61
심재학,95114,2003,322,276,65
이현택,87421,1990,318,273,68
김경남,95777,1982,314,297,80
김재박,82116,1992,311,276,61
심재학,95114,2005,309,252,64
이호준,94629,2001,308,286,67
최정,75847,2006,304,280,62
김응국,88510,2001,300,274,76
최동수,94132,2002,300,268,65
심재학,95114,1995,299,239,55
장민석,71347,2011,297,265,64
김재박,82116,1991,292,247,65
권준헌,90315,1996,289,253,52
김인철,90811,2005,288,262,72
최동수,94132,2012,287,252,70
박노준,86231,1992,263,238,57
김성한,82612,1995,255,229,41
김건우,86111,1993,249,229,58
권준헌,90315,1997,242,212,52
최동수,94132,2003,240,212,55
김정수,82982,1985,237,200,44
김응국,88510,1997,236,204,51
최동수,94132,2005,229,210,67
이호준,94629,2010,219,194,54
김대우,78536,2013,216,180,43
김건우,86111,1992,214,196,54
이호준,94629,2000,209,190,44
