name,throw_bat,year,decade,avg,obp,slg,ops,hr,rbi,rank,team_game
¹éÀÎÃµ,¿ì¿ì,1982,1980,0.412,0.502,0.74,1.242,19,64,1,80
ÀÌÁ¾¹ü,¿ì¿ì,1994,1990,0.393,0.454,0.581,1.035,19,77,1,126
ÀåÈ¿Á¶,ÁÂÁÂ,1987,1980,0.387,0.468,0.493,0.961,2,58,1,108
Å×ÀÓÁî,¿ìÁÂ,2015,2010,0.381,0.503,0.79,1.294,47,140,1,144
ÃÖÇü¿ì,¿ìÁÂ,2016,2010,0.376,0.47,0.651,1.121,31,144,1,144
ÀåÈ¿Á¶,ÁÂÁÂ,1985,1980,0.373,0.458,0.543,1.001,11,65,1,110
¸¶ÇØ¿µ,¿ì¿ì,1999,1990,0.372,0.448,0.672,1.12,35,119,1,132
¹Ú¿ëÅÃ,¿ìÁÂ,2009,2000,0.372,0.423,0.582,1.004,18,74,1,133
È«¼ºÈç,¿ì¿ì,2009,2000,0.371,0.442,0.533,0.975,12,64,2,133
¼­°ÇÃ¢,¿ìÁÂ,2014,2010,0.37,0.436,0.547,0.983,7,67,1,128
±è¼±ºó,¿ì¿ì,2017,2010,0.37,0.419,0.477,0.896,5,64,1,144
ÀåÈ¿Á¶,ÁÂÁÂ,1983,1980,0.369,0.475,0.618,1.093,18,62,1,100
¹Ú°Ç¿ì,¿ì¿ì,2017,2010,0.366,0.423,0.582,1.005,20,78,2,144
±èÅÂ±Õ2,¿ì¿ì,2014,2010,0.365,0.467,0.564,1.031,18,84,2,128
±èÅÂ±Õ2,¿ì¿ì,2016,2010,0.365,0.48,0.569,1.049,23,136,2,144
ÀÌ´ëÈ£,¿ì¿ì,2010,2000,0.364,0.446,0.667,1.114,44,133,1,133
±èÅÂ±Õ2,¿ì¿ì,2012,2010,0.363,0.478,0.536,1.014,16,80,1,133
¹Ú¹Î¿ì,¿ìÁÂ,2017,2010,0.363,0.442,0.472,0.914,3,47,3,144
¼Õ¾Æ¼·,¿ìÁÂ,2014,2010,0.362,0.458,0.538,0.996,18,80,3,128
À¯ÇÑÁØ,¿ì¿ì,2015,2010,0.362,0.436,0.579,1.014,23,116,2,144
±èÇö¼ö,¿ìÁÂ,2018,2010,0.362,0.423,0.589,1.013,20,101,1,144
ÀÌÁ¤ÈÆ,ÁÂÁÂ,1992,1990,0.36,0.442,0.621,1.062,25,68,1,126
¾çÀÇÁö,¿ì¿ì,2018,2010,0.358,0.433,0.585,1.018,23,77,2,144
±èÇö¼ö,¿ìÁÂ,2008,2000,0.357,0.456,0.509,0.964,9,89,1,126
±èÇö¼ö,¿ìÁÂ,2009,2000,0.357,0.452,0.589,1.042,23,104,3,133
ÀÌ´ëÈ£,¿ì¿ì,2011,2010,0.357,0.438,0.578,1.016,27,113,1,133
°­Á¤È£,¿ì¿ì,2014,2010,0.356,0.461,0.739,1.2,40,117,4,128
ÃÖÇü¿ì,¿ìÁÂ,2014,2010,0.356,0.431,0.649,1.08,31,100,5,128
¾çÁØÇõ,ÁÂÁÂ,2001,2000,0.355,0.454,0.51,0.964,14,92,1,133
ÀÌÁ¤ÈÄ,¿ìÁÂ,2018,2010,0.355,0.416,0.477,0.893,6,57,3,144
±è»óÈÆ,ÁÂÁÂ,1988,1980,0.354,0.422,0.508,0.93,8,52,1,108
¾çÀÇÁö,¿ì¿ì,2019,2010,0.354,0.444,0.574,1.018,20,68,1,144
ÃÖÇü¿ì,¿ìÁÂ,2020,2010,0.354,0.433,0.59,1.023,28,115,1,144
±èµ¿ÁÖ,¿ì¿ì,2009,2000,0.353,0.459,0.593,1.052,19,86,4,133
ÀÌ¿ë±Ô,ÁÂÁÂ,2016,2010,0.352,0.433,0.434,0.867,3,41,3,144
¼Õ¾Æ¼·,¿ìÁÂ,2020,2010,0.352,0.415,0.493,0.907,11,85,2,144
±èÁ¾¸ð,¿ì¿ì,1983,1980,0.35,0.406,0.524,0.93,11,44,2,100
