name,code,year,g,tpa,ab,h,2b,3b,hr,tb,rbi,sb,cs,sh,sf,bb,ibb,hbp,so,gidp,e,avg_risp,ops_risp
정훈,60523,2015,135,562,486,146,27,2,9,204,62,16,6,7,3,52,2,14,102,14,17,0.295 ,0.829 
오태곤,60558,2015,122,353,327,90,18,1,8,134,43,15,4,4,1,17,0,4,100,9,16,0.198 ,0.598 
유강남,61102,2015,126,313,279,76,11,1,8,113,37,2,1,7,1,19,0,7,55,10,3,0.244 ,0.672 
고종욱,61353,2015,119,443,407,126,25,4,10,189,51,22,14,4,1,25,1,6,81,10,3,0.284 ,0.780 
강경학,61700,2015,120,376,311,80,7,4,2,101,27,4,3,17,3,40,1,5,58,3,15,0.233 ,0.616 
박계현,61893,2015,97,302,264,61,2,0,0,63,21,10,8,13,1,20,0,4,45,1,10,0.299 ,0.648 
구자욱,62404,2015,116,465,410,143,33,5,11,219,57,17,7,0,4,45,0,6,79,3,13,0.330 ,0.837 
박해민,62415,2015,144,608,525,154,22,7,0,190,47,60,8,23,2,56,1,2,126,8,3,0.294 ,0.750 
박민우,62907,2015,141,617,520,158,31,6,3,210,47,46,16,3,7,73,0,14,108,4,11,0.379 ,0.974 
나성범,62947,2015,144,622,564,184,34,5,28,312,135,23,4,3,8,32,1,15,127,9,6,0.367 ,1.087 
양석환,64153,2015,125,384,358,93,22,1,8,141,48,6,6,5,3,18,2,0,75,6,10,0.252 ,0.691 
스나이더,64158,2015,113,487,431,121,26,1,26,227,71,4,2,3,5,37,0,11,135,2,2,0.210 ,0.632 
김하성,64300,2015,140,582,511,148,35,5,19,250,73,22,4,4,6,56,2,5,115,10,21,0.260 ,0.784 
나바로,64440,2015,140,643,534,153,19,1,48,318,137,22,6,1,9,93,8,6,72,10,12,0.271 ,1.023 
강한울,64610,2015,90,292,264,54,8,3,0,68,12,9,4,12,0,13,0,3,51,2,12,0.167 ,0.447 
필,64699,2015,143,591,536,174,35,1,22,277,101,14,10,0,9,43,6,3,74,12,8,0.333 ,0.929 
테임즈,64914,2015,142,595,472,180,42,5,47,373,140,40,8,0,7,103,11,13,91,7,4,0.310 ,1.217 
마르테,65005,2015,115,487,425,148,32,1,20,242,89,0,0,0,8,51,7,2,60,19,15,0.305 ,0.912 
히메네스,65103,2015,70,299,279,87,17,2,11,141,46,8,2,0,4,12,1,4,48,4,6,0.238 ,0.760 
로메로,65233,2015,76,305,265,67,16,0,12,119,50,2,0,0,7,29,1,4,48,9,8,0.256 ,0.761 
