코드,이름,투타,포지션,생년월일,키,몸무게,외국인
10005,차영화,우투우타,타자,19570627,178,82,0
10082,황태환,좌투좌타,투수,19520806,,,0
10182,황기선,우투우타,투수,19580602,,,0
20001,우용득,우투우타,타자,19500213,172,83,0
30003,손상대,우투우타,타자,19541020,175,79,0
30004,유지훤,우투우타,타자,19551004,174,72,0
40002,천보성,우투우타,타자,19530611,177,70,0
40003,최정우,좌투좌타,타자,19550602,179,80,0
40006,김인식,우투우타,타자,19531109,168,80,0
40007,박종훈,좌투좌타,타자,19590612,176,80,0
60032,김종찬,우투우타,타자,19870722,188,102,0
60100,백진우,우투우타,타자,19880509,179,79,0
60102,이태원,우투우타,타자,19860317,177,78,0
60105,배민관,우투우타,투수,19910729,185,93,0
60139,더마트레,좌투우타,투수,19810712,189,92,1
60140,신정락,우언우타,투수,19870513,177,78,0
60146,이승현,우투우타,투수,19911120,181,92,0
60154,곤잘레스,우투우타,투수,19830223,187,98,1
60156,오카모토,우투우타,투수,19741021,183,95,1
60164,유경국,우투우타,투수,19910712,177,78,0
60181,김지용,우투우타,투수,19880220,177,81,0
60184,김창혁,우투우타,타자,19910517,179,80,0
60198,이성진,우투우타,투수,19920223,181,86,0
60240,히메네스,우투우타,투수,19801027,188,89,1
60255,장민익,좌투좌타,투수,19910205,207,99,0
60263,이재학,우언우타,투수,19901004,181,84,0
60264,정대현,좌투좌타,투수,19910719,186,97,0
60288,김응민,우투우타,타자,19911022,178,90,0
60296,김동길,우투우타,타자,19870301,179,77,0
60304,이창섭,우투우타,타자,19870310,182,77,0
60329,번사이드,좌투좌타,투수,19770315,190,95,1
60336,문성현,우투우타,투수,19911109,180,87,0
60337,김대유,좌투좌타,투수,19910508,187,92,0
60339,김건태,우투우타,투수,19911002,185,85,0
60342,정회찬,우투우타,투수,19870207,194,105,0
60343,이해창,우투우타,타자,19870511,184,85,0
60404,송주호,우투좌타,타자,19880711,181,75,0
60430,레딩,우투우타,투수,19780212,181,100,1
60439,이규대,우언좌타,투수,19861020,182,87,0
60441,임진우,우투우타,투수,19870513,186,98,0
60456,백상원,우투좌타,타자,19880102,177,76,0
60457,김현우,우투우타,투수,19880121,185,111,0
60464,문선엽,좌투좌타,타자,19910731,175,80,0
60496,김동은,우투우타,타자,19901113,174,75,0
60523,정훈,우투우타,타자,19870718,180,85,0
60526,변용선,우투좌타,타자,19870517,183,75,0
60558,오태곤,우투우타,타자,19911118,186,88,0
60559,박시영,우투우타,투수,19890310,180,88,0
60566,이상호,우투우타,타자,19890205,180,82,0
60594,사도스키,우투우타,투수,19821004,193,88,1
60605,홍재호,우투우타,타자,19870510,180,79,0
60630,김태훈,우투우타,타자,19870928,185,76,0
60634,임기준,좌투좌타,투수,19911008,182,86,0
60635,이정훈,우투우타,투수,19910427,183,87,0
60636,심동섭,좌투좌타,투수,19910920,185,93,0
60648,이인행,우투좌타,타자,19910630,185,95,0
60649,라이트,우투우타,투수,19820313,192,90,1
60655,임한용,우투좌타,타자,19870715,180,77,0
60658,최병연,우투우타,타자,19861221,178,83,0
60667,이종환,좌투좌타,타자,19860508,175,90,0
60693,이준호,우투우타,타자,19870907,183,89,0
60697,콜론,우투우타,투수,19790813,198,107,1
60713,안승민,우투우타,투수,19910621,182,95,0
60724,이상훈,우투우타,타자,19870504,171,75,0
60726,카페얀,우투우타,투수,19810113,195,105,1
60727,부에노,좌투좌타,투수,19810305,176,80,1
60729,데폴라,우투우타,투수,19821231,187,95,1
60757,김경태,좌투좌타,투수,19910228,183,90,0
60759,김재우,우투좌타,타자,19911022,181,72,0
60764,김용주,좌투좌타,투수,19911023,175,73,0
60768,이태양,우투좌타,투수,19900703,192,97,0
60805,최윤석,우투우타,타자,19870328,175,75,0
60841,박종훈,우언우타,투수,19910813,186,90,0
60845,문광은,우투우타,투수,19871109,180,85,0
60848,최원재,우언우타,투수,19870429,185,92,0
60860,김정훈,우투우타,타자,19870523,182,93,0
60864,이상백,우투우타,투수,19870310,180,100,0
60865,안정광,우투우타,타자,19891129,184,88,0
60891,조성우,우투우타,타자,19880208,188,91,0
61101,임찬규,우투우타,투수,19921120,185,80,0
61102,유강남,우투우타,타자,19920715,182,88,0
61104,정병곤,우투우타,타자,19880323,172,74,0
61108,강병의,우투우타,타자,19920102,180,70,0
61114,김재율,우투우타,타자,19890114,186,90,0
61145,이우찬,좌투좌타,투수,19920804,183,88,0
61154,주키치,좌투좌타,투수,19821017,195,98,1
61156,송윤준,좌투좌타,투수,19920716,186,78,0
61158,리즈,우투우타,투수,19831006,185,87,1
61185,최인영,우투우타,투수,19890729,185,76,0
61186,이천웅,좌투좌타,타자,19881020,182,90,0
61194,이민재,좌투좌타,타자,19880205,177,77,0
61197,최영진,우투우타,타자,19880510,185,87,0
61204,김동한,우투우타,타자,19880624,174,74,0
61208,정진호,우투좌타,타자,19881002,185,78,0
61214,이현호,좌투좌타,투수,19920714,185,80,0
61215,안규영,우투우타,투수,19880412,185,85,0
61228,최현진,우투우타,투수,19920924,183,86,0
61231,페르난도,우투우타,투수,19820715,183,100,1
61240,니퍼트,우투우타,투수,19810506,203,103,1
61262,이정호,우언우타,투수,19920411,184,88,0
61267,최현정,좌투좌타,투수,19921203,179,75,0
61268,양현,우언우타,투수,19920823,188,70,0
61295,강동연,우투우타,투수,19921218,195,94,0
61323,이태양,우언좌타,투수,19930128,183,82,0
61329,윤지웅,좌투좌타,투수,19880311,180,75,0
61332,알드리지,좌투좌타,타자,19790613,185,102,1
61353,고종욱,우투좌타,타자,19890111,184,83,0
61357,이희성,좌투좌타,투수,19880309,185,93,0
61360,김도현,우투우타,타자,19921023,181,98,0
61363,문우람,우투좌타,타자,19920308,177,83,0
61365,김대우,우언우타,투수,19881121,183,85,0
61366,홍성갑,우투우타,타자,19920802,181,80,0
61396,박정준,우언우타,투수,19920322,184,90,0
61404,김헌곤,우투우타,타자,19881109,174,81,0
61411,심창민,우언우타,투수,19930201,185,86,0
61434,저마노,우투우타,투수,19820806,190,95,1
61435,가코,우투우타,타자,19810102,188,102,1
61444,매티스,우투양타,투수,19830607,190,99,1
61456,윤영삼,우투양타,투수,19920714,181,87,0
61457,임현준,좌언좌타,투수,19881221,185,88,0
61463,김정혁,우투우타,타자,19850803,182,82,0
61495,명재철,우투우타,투수,19890117,178,95,0
61496,황수범,우투우타,투수,19861117,183,81,0
61527,김명성,우투우타,투수,19880408,179,88,0
61541,코리,우투우타,투수,19731021,183,82,1
61554,김민하,우투우타,타자,19890225,181,88,0
61557,이정담,좌투좌타,투수,19910805,183,90,0
61566,허일,우투좌타,타자,19921120,177,88,0
61569,이경우,우투우타,투수,19871109,183,95,0
61591,김사훈,우투우타,타자,19870618,173,89,0
61604,유재혁,우투우타,타자,19920329,182,70,0
61629,트레비스,좌투좌타,투수,19821104,191,88,1
61643,홍건희,우투우타,투수,19920929,187,92,0
61652,윤정우,우투우타,타자,19880512,188,91,0
61658,정상교,우투우타,타자,19911001,177,73,0
61666,한승혁,우투좌타,투수,19930103,185,96,0
61693,한성구,우투우타,타자,19880914,185,85,0
61700,강경학,우투좌타,타자,19920811,180,72,0
61710,김용호,우투우타,타자,19860329,188,95,0
61715,유창식,좌투좌타,투수,19920515,186,107,0
61726,오넬리,우투우타,투수,19830526,188,98,1
61727,바티스타,우투우타,투수,19800823,198,86,1
61742,나성용,우투우타,타자,19880105,183,95,0
61743,오준혁,우투좌타,타자,19920311,187,80,0
61767,문재현,좌투좌타,투수,19920306,193,86,0
61830,신정익,우투우타,투수,19870204,192,95,0
61854,매그레인,우투우타,투수,19780723,189,94,1
61855,고든,우투좌타,투수,19780816,183,86,1
61865,이윤재,우투우타,타자,19890102,178,95,0
61869,정진기,우투좌타,타자,19921010,185,92,0
61891,임정우,우투우타,투수,19910402,183,77,0
61893,박계현,우투좌타,타자,19920308,181,75,0
61895,서진용,우투우타,투수,19921002,184,88,0
61897,부첵,우투우타,투수,19781024,198,95,1
61929,채선관,우투우타,투수,19880503,179,83,0
61962,김정후,우투우타,투수,19880926,178,95,0
62007,김지성,우투우타,타자,19850720,178,88,0
62016,윤병호,우투우타,타자,19890705,181,78,0
62025,이원재,우투좌타,타자,19890520,186,86,0
62056,정영일,우투우타,투수,19881116,188,98,0
62146,최성훈,좌투좌타,투수,19891011,178,75,0
62147,조윤준,우투우타,타자,19890830,185,95,0
62160,신동훈,우투우타,투수,19940124,181,88,0
62164,서상우,우투좌타,타자,19890917,187,90,0
62230,프록터,우투우타,투수,19770102,185,90,1
62234,류지혁,우투좌타,타자,19940113,181,75,0
62242,윤명준,우투우타,투수,19890618,178,78,0
62244,박세혁,우투좌타,타자,19900109,181,86,0
62263,변시원,우언우타,투수,19930401,178,78,0
62265,유민상,우투좌타,타자,19890413,186,101,0
62302,지재옥,우투좌타,타자,19880724,178,100,0
62322,밴헤켄,좌투우타,투수,19790731,193,90,1
62332,김재현,우투우타,타자,19930318,178,80,0
62338,박종윤,좌투좌타,투수,19930209,174,83,0
62349,김병현,우언우타,투수,19790119,178,90,0
62353,박정음,좌투좌타,타자,19890415,175,77,0
62356,김규민,좌투좌타,타자,19930126,188,85,0
62360,김태훈,우투우타,투수,19920302,185,95,0
62363,한현희,우언우타,투수,19930625,182,95,0
62404,구자욱,우투좌타,타자,19930212,189,75,0
62406,성의준,우투우타,타자,19891217,175,75,0
62407,김영훈,우투우타,타자,19890324,178,75,0
62409,박찬도,우투좌타,타자,19890222,185,75,0
62415,박해민,우투좌타,타자,19900224,180,75,0
62451,탈보트,우투우타,투수,19831017,189,86,1
62462,손형준,우투우타,타자,19890701,186,88,0
62463,이준형,우투우타,투수,19930603,187,82,0
62499,이현동,우투우타,타자,19930327,183,83,0
62522,이지모,우투우타,투수,19861030,183,86,0
62528,김원중,우투좌타,투수,19930614,192,91,0
62537,윤수강,우투우타,타자,19900222,181,96,0
62556,신본기,우투우타,타자,19890321,179,88,0
62558,김준태,우투좌타,타자,19940731,175,91,0
62559,김상호,우투우타,타자,19890510,181,87,0
62591,김성호,우언우타,투수,19890314,185,92,0
62595,정태승,좌투좌타,투수,19880317,178,96,0
62597,유먼,좌투좌타,투수,19791011,195,100,1
62611,임준섭,좌투좌타,투수,19890716,181,88,0
62637,박지훈,우투우타,투수,19890921,182,85,0
62644,앤서니,우투좌타,투수,19821028,193,102,1
62646,황정립,우투좌타,타자,19891214,182,85,0
62648,김윤동,우투우타,투수,19930401,186,97,0
62655,홍성민,우언양타,투수,19890715,191,82,0
62668,윤해진,우투우타,타자,19890225,178,84,0
62688,빌로우,좌투좌타,투수,19851115,190,100,1
62696,김종훈,우투우타,투수,19890418,186,98,0
62698,소사,우투우타,투수,19850728,185,95,1
62699,라미레즈,좌투좌타,투수,19791124,185,95,1
62700,하주석,우투좌타,타자,19940225,184,84,0
62730,배스,우투우타,투수,19820106,189,95,1
62731,션헨,좌투우타,투수,19810423,191,107,1
62741,최우석,우투우타,투수,19930206,183,80,0
62748,엄태용,우투우타,타자,19940224,183,85,0
