team,year,g,batters,tpa,ab,h,2b,3b,hr,bb,ibb,hbp,so,rbi,r,sh,sf,sb,cs,gidp,e
·Ôµ¥,1982,80,863,3062,2628,674,112,8,59,326,8,40,315,325,353,41,27,83,53,61,97
»ï¹Ì,1982,80,867,2954,2653,637,117,20,40,221,3,29,369,272,302,33,17,74,43,44,117
ÇØÅÂ,1982,80,873,2990,2665,696,110,14,84,235,12,41,296,332,374,28,21,155,52,59,102
»ï¼º,1982,80,887,3043,2647,705,126,18,57,307,2,30,349,374,429,36,18,147,42,50,81
OB,1982,80,930,3098,2745,778,137,23,57,247,22,41,254,362,399,46,18,106,61,35,98
MBC,1982,80,952,3061,2686,757,124,12,65,268,20,47,316,381,419,32,27,134,60,56,105
»ï¹Ì,1983,100,1046,3738,3317,814,113,14,62,282,16,47,404,315,345,73,18,35,41,76,88
ÇØÅÂ,1984,100,1081,3728,3321,822,143,10,76,313,8,33,496,343,369,39,21,87,52,87,108
»ï¹Ì,1984,100,1103,3773,3319,788,134,14,58,332,11,34,473,301,334,75,12,42,29,73,74
ÇØÅÂ,1983,100,1124,3734,3340,892,130,15,78,294,16,40,382,388,423,37,23,131,91,75,117
MBC,1983,100,1149,3715,3273,837,145,21,45,281,8,60,368,367,405,70,30,128,67,58,107
OB,1983,100,1156,3766,3330,863,142,26,50,279,11,50,352,378,418,89,18,60,45,63,110
·Ôµ¥,1984,100,1208,3729,3267,840,139,20,71,326,17,48,446,374,405,56,28,108,65,58,96
MBC,1984,100,1227,3754,3317,840,127,35,47,314,14,40,446,341,375,47,35,99,68,62,85
·Ôµ¥,1983,100,1238,3740,3308,807,133,18,78,308,2,39,423,342,370,58,24,76,61,71,125
»ï¼º,1983,100,1249,3847,3383,889,143,14,90,314,9,55,427,421,448,66,27,70,42,62,99
»ï¼º,1984,100,1262,3756,3298,889,147,18,78,313,18,63,422,413,435,62,18,75,61,62,64
ÇØÅÂ,1986,108,1271,4044,3582,929,136,18,99,321,16,39,406,443,474,76,23,120,78,82,99
ÇØÅÂ,1987,108,1284,4085,3609,910,151,12,71,335,19,44,379,368,393,68,26,90,44,96,84
MBC,1988,108,1298,4101,3652,951,132,27,42,321,16,34,384,373,408,70,23,118,61,72,105
OB,1984,100,1310,3660,3181,816,133,18,53,339,17,43,367,362,382,62,34,111,62,66,82
ÇØÅÂ,1988,108,1313,4060,3561,1009,134,14,112,343,11,44,374,466,503,77,33,136,58,95,98
»ï¹Ì¡¤Ã»º¸,1985,110,1314,4165,3648,920,158,9,73,378,4,44,457,376,416,71,22,70,48,95,106
ÇØÅÂ,1985,110,1317,4186,3709,1009,160,13,99,348,5,33,386,437,483,60,32,130,77,85,89
»ï¼º,1987,108,1321,4218,3731,1120,164,29,105,380,15,40,448,548,583,26,40,101,51,88,78
MBC,1985,110,1324,4069,3624,892,127,19,37,324,16,39,452,317,345,54,27,129,73,65,94
·Ôµ¥,1987,108,1327,4155,3625,970,161,27,40,390,20,34,330,400,432,86,20,99,50,102,77
·Ôµ¥,1985,110,1334,4138,3598,920,168,19,77,352,11,47,445,399,426,106,34,79,58,78,111
ºù±×·¹,1987,108,1353,4054,3547,972,144,22,48,326,11,53,423,370,410,104,23,79,85,84,105
ÅÂÆò¾ç,1988,108,1360,3961,3481,908,156,21,58,339,21,23,402,360,387,95,24,82,63,88,93
·Ôµ¥,1988,108,1366,4095,3578,967,142,18,68,347,16,40,333,446,482,104,24,127,64,81,92
OB,1986,108,1378,4044,3531,880,114,31,38,336,13,39,394,350,369,104,29,78,69,71,95
MBC,1986,108,1384,4138,3644,964,152,29,37,315,15,55,428,398,434,89,35,116,59,65,97
MBC,1987,108,1384,4019,3566,919,117,38,36,296,14,43,353,359,388,85,28,91,54,80,92
ÇØÅÂ,1990,120,1396,4595,3952,1066,177,23,87,466,28,53,544,501,538,95,29,101,66,100,110
»ï¼º,1988,108,1402,4192,3692,1028,148,21,85,381,13,42,493,486,516,53,24,110,62,74,76
·Ôµ¥,2008,126,1405,4890,4256,1200,199,22,93,445,13,76,728,590,624,62,51,133,68,97,92
OB,1987,108,1406,4010,3548,927,123,34,30,342,7,24,369,391,415,70,25,72,49,88,97
ºù±×·¹,1986,108,1409,4004,3453,815,122,23,46,420,3,30,494,313,333,84,17,79,85,81,102
ºù±×·¹,1988,108,1423,4103,3616,961,177,21,73,332,7,52,464,465,506,70,32,83,51,78,85
·Ôµ¥,1986,108,1435,4089,3603,894,140,28,37,342,16,24,357,332,373,100,19,89,51,81,94
ÅÂÆò¾ç,1993,126,1435,4532,4025,913,169,15,35,343,17,39,776,314,342,104,21,80,50,100,104
OB,1996,126,1444,4653,4163,1008,178,23,82,327,26,59,721,410,446,75,29,78,53,98,104
OB,1988,108,1448,4043,3583,923,145,25,44,321,13,28,374,387,418,78,31,87,39,91,81
ÇØÅÂ,1991,126,1450,4843,4135,1069,171,29,144,516,12,83,588,594,618,74,35,152,77,102,90
»ï¼º,1990,120,1453,4551,3961,1040,170,13,131,434,12,52,532,555,593,68,31,108,54,91,97
ÇØÅÂ,1994,126,1460,4757,4254,1153,183,17,93,332,20,44,583,534,563,87,37,164,59,75,116
LG,1997,126,1472,4821,4153,1109,220,29,83,422,24,90,601,549,590,97,57,137,53,82,94
OB,1998,126,1480,4717,4223,1080,174,28,102,338,17,56,713,479,520,65,34,123,50,87,91
ÇØÅÂ,1998,126,1490,4678,4129,1067,188,8,94,367,25,57,669,467,489,92,33,58,26,125,98
Ã»º¸,1986,108,1491,3926,3449,755,138,10,66,327,10,42,518,322,318,86,22,47,52,86,101
ÇØÅÂ,1989,120,1492,4564,3963,1011,142,9,90,470,26,48,508,472,500,57,26,111,74,111,100
