season,남녀부,플레이팀,세트,승리,승률,세트당_서브,리시브_효율,공격_효율,세트당_블로킹,세트당_디그
1516,남,KB손해보험,130,42,0.323076923,1.038461538,0.444362018,0.316704675,1.930769231,10.44615385
1516,남,OK저축은행,127,79,0.622047244,1.669291339,0.49691231,0.373931624,2.448818898,9.606299213
1516,남,대한항공,127,73,0.57480315,1.086614173,0.520493434,0.370533099,2.37007874,9.803149606
1516,남,삼성화재,131,72,0.549618321,1.389312977,0.482473415,0.358006912,2.320610687,10.19083969
1516,남,우리카드,128,35,0.2734375,0.78125,0.421252372,0.158871279,2.265625,10.2265625
1516,남,한국전력,131,62,0.473282443,0.809160305,0.513671875,0.341634024,2.267175573,10.61068702
1516,남,현대캐피탈,124,86,0.693548387,1.032258065,0.484598698,0.404375,2.806451613,9.975806452
1516,여,GS칼텍스,112,58,0.517857143,1.151785714,0.431648352,0.247557726,2.1875,23.71428571
1516,여,IBK기업은행,105,66,0.628571429,1.238095238,0.402622632,0.281424395,2.380952381,20.77142857
1516,여,KGC인삼공사,106,33,0.311320755,1.037735849,0.41171404,0.182473268,1.933962264,24.35849057
1516,여,한국도로공사,109,52,0.47706422,1.082568807,0.435267857,0.234547197,1.825688073,21.80733945
1516,여,현대건설,106,61,0.575471698,1.169811321,0.395218003,0.268645548,2.547169811,21.93396226
1516,여,흥국생명,108,53,0.490740741,1.203703704,0.384203481,0.228313671,1.759259259,24.09259259
1617,남,KB손해보험,134,59,0.440298507,0.917910448,0.434464148,0.345573584,2.149253731,9.97761194
1617,남,OK저축은행,127,33,0.25984252,0.88976378,0.470134875,0.313999393,1.787401575,8.62992126
1617,남,대한항공,131,79,0.603053435,1.244274809,0.435188948,0.358692331,2.671755725,8.908396947
1617,남,삼성화재,135,73,0.540740741,1.022222222,0.461075592,0.347332577,2.2,9.481481481
1617,남,우리카드,133,69,0.518796992,1.067669173,0.498070988,0.344224706,2.518796992,8.894736842
1617,남,한국전력,136,72,0.529411765,1.036764706,0.523007856,0.333515433,2.536764706,9.860294118
1617,남,현대캐피탈,132,79,0.598484848,1.560606061,0.466745843,0.364536454,2.53030303,8.681818182
1617,여,GS칼텍스,110,49,0.445454545,1.209090909,0.398704104,0.266094421,1.572727273,23.29090909
1617,여,IBK기업은행,105,64,0.60952381,1.295238095,0.380952381,0.291164164,1.933333333,22.76190476
1617,여,KGC인삼공사,104,50,0.480769231,1.105769231,0.305179655,0.250937266,2.240384615,22.78846154
1617,여,한국도로공사,106,41,0.386792453,1.169811321,0.413309982,0.243306717,1.735849057,23.8490566
1617,여,현대건설,110,52,0.472727273,1,0.345094664,0.247785548,2.836363636,22.99090909
1617,여,흥국생명,105,64,0.60952381,1.19047619,0.404421925,0.276915732,1.742857143,23.37142857
1718,남,KB손해보험,134,66,0.492537313,1.78358209,0.35661622,0.325869181,2.246268657,9.320895522
1718,남,OK저축은행,131,47,0.358778626,1.335877863,0.436672968,0.299970649,2.122137405,8.870229008
1718,남,대한항공,130,68,0.523076923,1.523076923,0.426839127,0.346639272,2.215384615,10.10769231
1718,남,삼성화재,132,71,0.537878788,1.007575758,0.439411998,0.359987838,2.681818182,9.045454545
1718,남,우리카드,131,62,0.473282443,1.381679389,0.380614657,0.341882921,2,9.595419847
1718,남,한국전력,128,64,0.5,1.1875,0.418744972,0.294222752,2.1953125,10.2734375
1718,남,현대캐피탈,128,79,0.6171875,1.171875,0.425263158,0.364979566,2.6953125,9.5
1718,여,GS칼텍스,107,49,0.457943925,1.299065421,0.377747869,0.272103659,1.85046729,20.42990654
1718,여,IBK기업은행,106,68,0.641509434,1.358490566,0.348803127,0.276546392,2.179245283,21.79245283
1718,여,KGC인삼공사,105,41,0.39047619,0.942857143,0.346188748,0.21155754,2.152380952,22.45714286
1718,여,한국도로공사,109,69,0.633027523,1.256880734,0.439505041,0.284835057,2.348623853,21.51376147
1718,여,현대건설,108,56,0.518518519,1.333333333,0.359043753,0.271589167,2.981481481,20.66666667
1718,여,흥국생명,107,38,0.355140187,1.23364486,0.379128137,0.207754907,1.76635514,22.3271028
1819,남,KB손해보험,134,58,0.432835821,1.276119403,0.395216401,0.320242564,2.014925373,9.23880597
1819,남,OK저축은행,129,61,0.472868217,1.736434109,0.373581848,0.330359987,2.248062016,8.015503876
1819,남,대한항공,136,85,0.625,1.514705882,0.464,0.346198157,2.639705882,9.779411765
1819,남,삼성화재,133,68,0.511278195,0.984962406,0.396940727,0.375946683,2.413533835,8.609022556
