시즌,팀,남녀부,경기,세트,득점,공격종합_성공,공격종합_블로킹,공격종합_범실,공격종합_연결,공격종합_시도,공격종합_성공률,오픈_성공,오픈_블로킹,오픈_범실,오픈_연결,오픈_시도,오픈_성공률,속공_성공,속공_블로킹,속공_범실,속공_연결,속공_시도,속공_성공률,퀵오픈_성공,퀵오픈_블로킹,퀵오픈_범실,퀵오픈_연결,퀵오픈_시도,퀵오픈_성공률,시간차_성공,시간차_블로킹,시간차_범실,시간차_연결,시간차_시도,시간차_성공률,이동_성공,이동_블로킹,이동_범실,이동_계속,이동_시도,이동_성공률,후위_성공,후위_블로킹,후위_범실,후위_연결,후위_시도,후위_성공률,블로킹_성공,유효블로킹,블로킹_실패,블로킹_범실,블로킹_연결,블로킹_시도,블로킹_세트당_평균,블로킹_어시스트,서브_성공,서브_범실,서브_연결,서브_시도,서브_세트당_평균,벌칙,개인범실,팀범실,세트_성공,세트_범실,세트_연결,세트_시도,세트_세트당_평균,리시브_정확,리시브_실패,리시브_연결,리시브_시도,리시브_효율,디그_성공,디그_범실,디그_실패,디그_시도,디그_세트당_평균
2005,KAL,남,20,76,1580,1014,205,165,803,2187,46.36,547,139,92,466,1244,43.97,164,15,13,123,315,52.06,,,,,,,82,10,9,53,154,53.24,99,19,17,79,214,46.26,122,22,34,82,260,46.92,189,,380,26,183,752,2.486,,20,156,1415,1591,0.263,1,371,,965,16,1155,2136,12.69,916,46,596,1558,55.84,800,174,7,981,10.52
2005,삼성,남,20,74,1757,1093,181,156,691,2121,51.53,552,115,100,357,1124,49.11,253,20,13,171,457,55.36,,,,,,,46,9,6,28,89,51.68,88,12,6,32,138,63.76,154,25,31,103,313,49.2,234,,352,21,200,786,3.162,,50,176,1509,1735,0.675,,376,,1041,18,998,2057,14.06,944,23,384,1351,68.17,865,167,5,1037,11.68
2005,LG,남,20,80,1791,1133,213,191,776,2313,48.98,503,125,92,414,1134,44.35,221,20,17,147,405,54.56,,,,,,,120,19,11,82,232,51.72,42,6,7,29,84,50,247,43,64,104,458,53.93,212,,391,15,201,804,2.65,,51,192,1550,1793,0.637,1,427,,1102,20,1160,2282,13.77,1070,40,476,1586,64.94,884,137,8,1029,11.05
2005,현대,남,20,70,1685,1006,142,98,700,1946,51.69,450,83,49,369,951,47.31,265,19,18,164,466,56.86,,,,,,,108,7,6,55,176,61.36,51,3,3,20,77,66.23,132,30,22,92,276,47.82,235,,398,26,235,868,3.357,,48,137,1477,1662,0.685,,284,,961,17,917,1895,13.72,867,31,403,1301,64.25,773,141,6,920,11.04
2005,상무,남,20,72,1468,962,201,184,817,2164,44.45,486,109,101,417,1113,43.66,198,29,22,181,430,46.04,,,,,,,103,14,10,69,196,52.55,55,11,11,37,114,48.24,120,38,40,113,311,38.58,144,,345,19,167,656,2,,27,138,1323,1488,0.375,,371,,932,29,1176,2137,12.94,987,56,492,1535,60.65,834,157,1,992,11.58
2005,한전,남,20,74,1611,1030,229,169,756,2184,47.16,504,144,102,395,1145,44.01,245,24,28,166,463,52.91,,,,,,,140,30,10,92,272,51.47,59,5,3,30,97,60.82,82,26,26,73,207,39.61,157,,345,18,157,659,2.121,,42,200,1382,1624,0.567,,416,,994,26,1131,2151,13.43,1066,42,453,1561,65.59,847,194,3,1044,11.44
2005,GS,여,16,60,1228,763,97,165,1516,2541,30.02,443,56,99,921,1519,29.16,93,14,18,166,291,31.95,,,,,,,140,18,22,244,424,33.01,53,5,7,88,153,34.64,34/(32),4,19,97,154,22.07,132,,263,11,247,642,2.2,,26,68,1110,1204,0.433,,287,,715,34,1764,2513,11.91,666,37,571,1274,49.37,1592,213,9,1814,26.53
2005,KT&G,여,16,60,1390,937,101,96,1619,2753,34.03,424,57,46,860,1387,30.56,86,8,6,101,201,42.78,,,,,,,292,30,25,460,807,36.18,111,5,9,110,235,47.23,24/(23),1,10,88,123,19.51,122,,227,7,270,619,2.033,,37,53,1272,1362,0.616,,174,,882,14,1783,2679,14.7,634,27,448,1109,54.73,1884,207,4,2095,31.4
2005,도공,여,16,59,1373,924,67,122,1464,2577,35.85,492,35,67,875,1469,33.49,155,12,14,149,330,46.96,,,,,,,174,12,23,312,521,33.39,92,8,8,86,194,47.42,11/(11),,10,42,63,17.46,122,,230,6,228,580,2.067,,30,48,1272,1350,0.508,,196,,871,15,1620,2506,14.76,607,31,401,1039,55.43,1792,222,5,2019,30.37
2005,현대,여,16,63,1389,946,118,149,1540,2753,34.36,438,61,71,797,1367,32.04,161,22,15,163,361,44.59,,,,,,,227,23,37,371,658,34.49,92,11,14,126,243,37.86,28/(27),1,12,83,124,22.58,104,,211,14,255,570,1.65,,37,85,1238,1360,0.587,1,285,,890,27,1724,2641,14.12,775,44,461,1280,57.1,1694,199,9,1902,26.88
