season,pick,team,player,college,years,pos,g,gs,mp,fg,fga,x3p,x3pa,ft,fta,trb,ast,stl,blk,tov,pf,pts,ws
1981,1,DAL,Mark Aguirre,DePaul,13,SF,923,639,27730,7201,14865,392,1258,3664,4944,4578,2871,687,296,2306,2599,18458,68
1981,2,DET,Isiah Thomas,Indiana,13,PG,979,971,35516,7194,15904,398,1373,4036,5316,3478,9061,1861,249,3682,2971,18822,80.8
1981,3,NJN,Buck Williams,Maryland,17,PF,1307,1140,42464,6404,11661,5,30,3971,5979,13017,1646,1080,1100,2784,4267,16784,120.1
1981,4,ATL,Al Wood,UNC,6,SG,417,246,9939,1980,4254,40,190,902,1143,1262,742,310,159,569,944,4902,15.3
1981,5,SEA,Danny Vranes,Utah,7,SF,510,246,10624,1056,2131,2,19,499,875,1998,594,333,270,519,1368,2613,15.3
1981,6,CHI,Orlando Woolridge,Notre Dame,13,SF,851,485,24041,5150,10037,8,88,3315,4501,3696,1609,553,569,1747,2166,13623,53.1
1981,7,KCK,Steve Johnson,Oregon State,10,C,626,327,13618,2841,4965,0,4,1663,2622,3450,777,290,530,1477,2409,7345,26.8
1981,8,SDC,Tom Chambers,Utah,16,PF,1107,743,33922,7378,15749,227,740,5066,6274,6703,2283,885,627,2549,3742,20049,79
1981,9,DAL,Rolando Blackman,Kansas State,13,SG,980,815,32087,6887,13969,229,667,3620,4309,3278,2981,715,274,1829,1634,17623,75.8
1981,10,NJN,Albert King,Maryland,9,SF,534,326,12836,2709,5875,56,209,996,1259,2262,1171,452,196,1151,1612,6470,16.4
1981,11,WSB,Frank Johnson,Wake Forest,10,PG,596,217,12897,1947,4433,53,243,990,1303,1025,2476,570,36,1054,1116,4937,17.2
1981,12,DET,Kelly Tripucka,Notre Dame,10,SF,707,575,20959,4434,9380,168,465,3106,3660,2703,2090,678,137,1697,1634,12142,44.4
1981,13,UTA,Danny Schayes,Syracuse,18,C,1138,427,21975,2994,6228,4,30,2788,3461,5671,1299,560,840,1572,3494,8780,48.6
1981,14,IND,Herb Williams,Ohio State,18,C,1102,607,28484,5037,10781,8,84,1862,2675,6509,1856,605,1605,1929,2876,11944,36.1
1981,15,POR,Jeff Lamp,Virginia,6,SF,291,3,3471,607,1292,12,54,269,320,437,269,105,14,219,400,1495,5.2
1981,16,POR,Darnell Valentine,Kansas,9,PG,620,345,14395,1993,4560,41,157,1373,1744,1318,3080,910,58,1240,1358,5400,22.2
1981,17,KCK,Kevin Loder,Alabama State University,3,SF,148,26,2094,365,791,6,23,139,200,338,174,67,43,143,261,875,2.5
1981,18,NJN,Ray Tolbert,Indiana,5,PF,261,2,2789,396,800,0,6,136,250,609,135,71,101,210,418,928,2.9
1981,19,LAL,Mike McGee,Michigan,9,SF,520,136,9271,2087,4286,306,865,488,817,1112,629,371,49,630,1012,4968,15.1
1981,20,PHO,Larry Nance,Clemson,13,PF,920,795,30697,6370,11664,8,55,2939,3892,7352,2393,872,2027,1711,2703,15687,109.5
1981,21,MIL,Alton Lister,Arizona State,16,C,953,582,18965,2514,4907,1,9,1269,2126,5996,914,351,1473,1450,3179,6298,36.6
1981,22,PHI,Franklin Edwards,Cleveland State University,7,PG,296,36,4436,738,1644,1,33,325,409,300,774,249,21,398,348,1802,3.9
1981,23,BOS,Charles Bradley,Wyoming,3,SG,110,6,910,127,305,0,4,93,159,119,55,46,34,87,151,347,0.3
1981,24,DAL,Jay Vincent,Michigan State,9,PF,576,225,15556,3490,7367,4,27,1745,2226,3167,1124,413,172,1099,1621,8729,27.5
1981,25,BOS,Tracy Jackson,Notre Dame,3,SG,129,3,1797,279,602,2,13,134,179,243,132,78,14,108,183,694,2.4
1981,27,UTA,Howard Wood,Tennessee,1,SF,42,3,342,55,120,0,1,34,52,65,9,8,6,15,37,144,0.3
1981,28,SAS,Gene Banks,Duke,6,SF,468,264,13074,2134,3961,2,46,1035,1418,2718,1335,436,101,835,1289,5305,31.1
1981,29,KCK,Eddie Johnson,Illinois,17,SF,798,177,19748,4627,9922,471,1361,1980,2300,2794,1405,418,84,1197,1772,11705,41.2
1981,30,SAS,Ed Rains,University of South Alabama,2,SF,83,16,929,110,260,0,3,67,107,124,62,28,3,50,109,287,0.7
