Player,Date,Tournament,Surface,Round,W/L,Score
Roger Federer,20-01-2020,Australian Open,Hard,SF,L,"7-6(1), 6-4, 6-3"
Roger Federer,20-01-2020,Australian Open,Hard,QF,W,"6-3, 2-6, 2-6, 7-6(8), 6-3"
Roger Federer,20-01-2020,Australian Open,Hard,R16,W,"4-6, 6-1, 6-2, 6-2"
Roger Federer,20-01-2020,Australian Open,Hard,R32,W,"4-6, 7-6(2), 6-4, 4-6, 7-6(8)"
Roger Federer,20-01-2020,Australian Open,Hard,R64,W,"6-1, 6-4, 6-1"
Roger Federer,20-01-2020,Australian Open,Hard,R128,W,"6-3, 6-2, 6-2"
Roger Federer,11-11-2019,Tour Finals,Hard (i),SF,L,"6-3, 6-4"
Roger Federer,11-11-2019,Tour Finals,Hard (i),RR,W,"6-4, 6-3"
Roger Federer,11-11-2019,Tour Finals,Hard (i),RR,L,"7-5, 7-5"
Roger Federer,11-11-2019,Tour Finals,Hard (i),RR,W,"7-6(2), 6-3"
Roger Federer,21-10-2019,Basel,Hard (i),F,W,"6-2, 6-2"
Roger Federer,21-10-2019,Basel,Hard (i),SF,W,"6-4, 6-4"
Roger Federer,21-10-2019,Basel,Hard (i),QF,W W,W/O
Roger Federer,21-10-2019,Basel,Hard (i),R16,W,"6-0, 6-3"
Roger Federer,21-10-2019,Basel,Hard (i),R32,W,"6-2, 6-1"
Roger Federer,07-10-2019,Shanghai Masters,Hard,QF,L,"6-3, 6-7(7), 6-3"
Roger Federer,07-10-2019,Shanghai Masters,Hard,R16,W,"7-6(7), 6-4"
Roger Federer,07-10-2019,Shanghai Masters,Hard,R32,W,"6-2, 7-6(5)"
Roger Federer,26-08-2019,US Open,Hard,QF,L,"3-6, 6-4, 3-6, 6-4, 6-2"
Roger Federer,26-08-2019,US Open,Hard,R16,W,"6-2, 6-2, 6-0"
Roger Federer,26-08-2019,US Open,Hard,R32,W,"6-2, 6-2, 6-1"
Roger Federer,26-08-2019,US Open,Hard,R64,W,"3-6, 6-2, 6-3, 6-4"
Roger Federer,26-08-2019,US Open,Hard,R128,W,"4-6, 6-1, 6-2, 6-4"
Roger Federer,12-08-2019,Cincinnati Masters,Hard,R16,L,"6-3, 6-4"
Roger Federer,12-08-2019,Cincinnati Masters,Hard,R32,W,"6-3, 6-4"
Roger Federer,01-07-2019,Wimbledon,Grass,F,L,"7-6(5), 1-6, 7-6(4), 4-6, 13-12"
Roger Federer,01-07-2019,Wimbledon,Grass,SF,W,"7-6(3), 1-6, 6-3, 6-4"
Roger Federer,01-07-2019,Wimbledon,Grass,QF,W,"4-6, 6-1, 6-4, 6-4"
Roger Federer,01-07-2019,Wimbledon,Grass,R16,W,"6-1, 6-2, 6-2"
Roger Federer,01-07-2019,Wimbledon,Grass,R32,W,"7-5, 6-2, 7-6(4)"
Roger Federer,01-07-2019,Wimbledon,Grass,R64,W,"6-1, 7-6(3), 6-2"
Roger Federer,01-07-2019,Wimbledon,Grass,R128,W,"3-6, 6-1, 6-2, 6-2"
Roger Federer,17-06-2019,Halle,Grass,F,W,"7-6(2), 6-1"
Roger Federer,17-06-2019,Halle,Grass,SF,W,"6-3, 6-3"
